"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:汪顺","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:陈艾森","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:樊振东","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:Tom Daley","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:苏炳添","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:马龙","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:郑思维","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:杨健","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:吕小军","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:刘浩 /郑鹏飞","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:安昌林","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:谢震业","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:刘洋","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:徐嘉余","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:杨皓然","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:Micah Christenson","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:邓志伟","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:盛李豪","2.您的角色认同是","3.您是否认同自己是“熊”族",
"274","13-Aug-2021 20:51:57","13-Aug-2021 20:52:27","30","中国","山东省","滨州市","","","B.陈艾森","C.樊振东","D.Tom Daley","","","G.郑思维","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"273","13-Aug-2021 20:30:57","13-Aug-2021 20:31:37","40","中国","四川省","成都市","","","","","","","","G.郑思维","","","","","","","N.徐嘉余","","","","","E.Bottom","B.不是",
"272","13-Aug-2021 19:34:31","13-Aug-2021 19:35:16","45","中国","海南省","海口市","","A.汪顺","","","D.Tom Daley","","F.马龙","","","","","","","","","","","","","A.Top","B.不是",
"271","13-Aug-2021 19:20:09","13-Aug-2021 19:20:35","26","美国","位置未知","","","","","","D.Tom Daley","","","","","","","","","","","","","","","D.Vers Bottom","B.不是",
"270","13-Aug-2021 18:56:51","13-Aug-2021 18:57:54","63","加拿大","位置未知","","","A.汪顺","B.陈艾森","","","E.苏炳添","","G.郑思维","","","","K.安昌林","","","","","","","","E.Bottom","B.不是",
"269","13-Aug-2021 18:57:21","13-Aug-2021 18:57:48","27","中国","广东省","广州市","","A.汪顺","B.陈艾森","","","","","","","","","","","","","O.杨皓然","","","","E.Bottom","B.不是",
"268","13-Aug-2021 18:03:17","13-Aug-2021 18:03:29","12","中国","广东省","广州市","","","","","","","","","","","","","","","","","P.Micah Christenson","","","A.Top","B.不是",
"267","13-Aug-2021 17:39:22","13-Aug-2021 17:39:39","17","中国","安徽省","合肥市","","A.汪顺","","","","E.苏炳添","","","","","J.刘浩 /郑鹏飞","K.安昌林","","","","O.杨皓然","","","","D.Vers Bottom","B.不是",
"266","13-Aug-2021 17:31:12","13-Aug-2021 17:31:33","21","中国","山西省","大同市","","A.汪顺","","","D.Tom Daley","","","","","","","","","","","","","","","C.Vers","B.不是",
"265","13-Aug-2021 17:27:27","13-Aug-2021 17:28:23","56","日本","位置未知","","","A.汪顺","B.陈艾森","","","","F.马龙","","","","J.刘浩 /郑鹏飞","K.安昌林","","","","","","","","D.Vers Bottom","B.不是",
"264","13-Aug-2021 17:26:34","13-Aug-2021 17:27:04","30","中国","江西省","赣州市","","A.汪顺","","C.樊振东","","","","","","","","","","","","","","","","B.Vers Top","B.不是",
"263","13-Aug-2021 17:20:41","13-Aug-2021 17:21:08","27","英国","位置未知","","","A.汪顺","","","","","","","","","","","","","","","","","","C.Vers","B.不是",
"262","13-Aug-2021 17:19:08","13-Aug-2021 17:19:21","13","中国","广东省","","","","","","","","","","","","","K.安昌林","","","","","","","","F.我不认同角色划分","B.不是",
"261","13-Aug-2021 17:00:47","13-Aug-2021 17:02:33","106","中国","陕西省","咸阳市","","A.汪顺","B.陈艾森","","D.Tom Daley","","","G.郑思维","","","","","","","N.徐嘉余","","","","","B.Vers Top","B.不是",
"260","13-Aug-2021 16:58:50","13-Aug-2021 17:00:01","71","中国","天津市","天津市","","","","C.樊振东","","","","","","","","","","","","","","","","E.Bottom","B.不是",
"259","13-Aug-2021 16:58:33","13-Aug-2021 16:58:50","17","中国","四川省","成都市","","A.汪顺","B.陈艾森","C.樊振东","","","F.马龙","","H.杨健","","","","","","","","","","","C.Vers","B.不是",
"258","13-Aug-2021 16:39:17","13-Aug-2021 16:39:36","19","中国","广东省","深圳市","","","B.陈艾森","","","","","","","","","","","","","","P.Micah Christenson","","","F.我不认同角色划分","B.不是",
"257","13-Aug-2021 16:16:06","13-Aug-2021 16:16:28","22","中国","上海市","上海市","","A.汪顺","","","","","","","","I.吕小军","J.刘浩 /郑鹏飞","","","","","","","","","C.Vers","B.不是",
"256","13-Aug-2021 15:45:05","13-Aug-2021 15:45:44","39","美国","位置未知","","","A.汪顺","B.陈艾森","","D.Tom Daley","","F.马龙","","H.杨健","","","","","","","","","","","C.Vers","B.不是",
"255","13-Aug-2021 15:44:12","13-Aug-2021 15:45:04","52","中国","四川省","成都市","","","B.陈艾森","","D.Tom Daley","","F.马龙","","","I.吕小军","","","","M.刘洋","","","","","","E.Bottom","B.不是",
"254","13-Aug-2021 15:41:33","13-Aug-2021 15:42:35","62","美国","位置未知","","","","B.陈艾森","","","","F.马龙","","","I.吕小军","","","","","","","","","","E.Bottom","B.不是",
"253","13-Aug-2021 14:58:18","13-Aug-2021 14:59:00","42","美国","位置未知","","","A.汪顺","","","","","F.马龙","G.郑思维","H.杨健","I.吕小军","","","","","","","","","","C.Vers","B.不是",
"252","13-Aug-2021 14:54:50","13-Aug-2021 14:55:08","18","美国","位置未知","","","","","","","","","","","","J.刘浩 /郑鹏飞","","","","","","","","","F.我不认同角色划分","B.不是",
"251","13-Aug-2021 14:53:04","13-Aug-2021 14:53:30","26","中国","香港特别行政区","香港特别行政区","","A.汪顺","","","","","","","","","","","","","","","","","","C.Vers","B.不是",
"250","13-Aug-2021 14:39:43","13-Aug-2021 14:40:00","17","德国","位置未知","","","","","","","","","","","","","","","","","O.杨皓然","","","","D.Vers Bottom","B.不是",
"249","13-Aug-2021 14:32:30","13-Aug-2021 14:32:47","17","美国","位置未知","","","","","","","","","","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"248","13-Aug-2021 14:24:11","13-Aug-2021 14:24:36","25","中国","福建省","宁德市","","","","","","E.苏炳添","","","","","","","","","","","","","","E.Bottom","B.不是",
"247","13-Aug-2021 14:19:47","13-Aug-2021 14:22:30","163","中国","广东省","","","","B.陈艾森","","","E.苏炳添","F.马龙","","H.杨健","I.吕小军","","","","","","","","","","F.我不认同角色划分","B.不是",
"246","13-Aug-2021 14:20:28","13-Aug-2021 14:21:00","32","中国","上海市","上海市","","A.汪顺","B.陈艾森","","D.Tom Daley","","F.马龙","","","","","","","","N.徐嘉余","","","","","D.Vers Bottom","A.是",
"245","13-Aug-2021 14:12:01","13-Aug-2021 14:14:45","164","美国","位置未知","","","","B.陈艾森","","","E.苏炳添","","","","I.吕小军","","","L.谢震业","","N.徐嘉余","","","","","F.我不认同角色划分","B.不是",
"244","13-Aug-2021 14:10:22","13-Aug-2021 14:11:02","40","中国","浙江省","温州市","","A.汪顺","","","","","","","","","","","","","","","","","","B.Vers Top","B.不是",
"243","13-Aug-2021 13:54:24","13-Aug-2021 13:54:44","20","中国","广东省","广州市","","","","","","E.苏炳添","","","","","","K.安昌林","","","N.徐嘉余","","","","","F.我不认同角色划分","B.不是",
"242","13-Aug-2021 13:52:43","13-Aug-2021 13:53:21","38","中国","广东省","深圳市","","","","","","E.苏炳添","","","","I.吕小军","J.刘浩 /郑鹏飞","","L.谢震业","","","","","","","B.Vers Top","B.不是",
"241","13-Aug-2021 13:49:05","13-Aug-2021 13:50:12","67","中国","福建省","福州市","","","B.陈艾森","","D.Tom Daley","E.苏炳添","","","","","","","L.谢震业","","N.徐嘉余","","","","","F.我不认同角色划分","B.不是",
"240","13-Aug-2021 13:45:00","13-Aug-2021 13:46:09","69","中国","湖北省","武汉市","","","","","","E.苏炳添","F.马龙","","","","","K.安昌林","","M.刘洋","","","","Q.邓志伟","","D.Vers Bottom","B.不是",
"239","13-Aug-2021 13:45:26","13-Aug-2021 13:46:03","37","美国","位置未知","","","","","C.樊振东","D.Tom Daley","","F.马龙","","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"238","13-Aug-2021 13:41:19","13-Aug-2021 13:41:34","15","中国","海南省","海口市","","","","C.樊振东","","","","","","","","K.安昌林","","","","","","","","D.Vers Bottom","A.是",
"237","13-Aug-2021 13:39:34","13-Aug-2021 13:40:02","28","美国","位置未知","","","","B.陈艾森","C.樊振东","","","F.马龙","","","","","K.安昌林","","","","","","","","F.我不认同角色划分","B.不是",
"236","13-Aug-2021 13:36:05","13-Aug-2021 13:36:49","44","中国","河南省","郑州市","","","","","D.Tom Daley","E.苏炳添","","","","I.吕小军","","K.安昌林","","","","","","","","B.Vers Top","B.不是",
"235","13-Aug-2021 13:35:49","13-Aug-2021 13:36:37","48","美国","位置未知","","","","B.陈艾森","","D.Tom Daley","","","","H.杨健","I.吕小军","","K.安昌林","","","","","","","","C.Vers","B.不是",
"234","13-Aug-2021 13:34:39","13-Aug-2021 13:35:01","22","中国","北京市","北京市","","","","","","","F.马龙","","","I.吕小军","","K.安昌林","","","","","","","","C.Vers","A.是",
"233","13-Aug-2021 13:32:30","13-Aug-2021 13:33:02","32","中国","湖北省","武汉市","","","","","","","","","","","","","","M.刘洋","","","","","","F.我不认同角色划分","B.不是",
"232","13-Aug-2021 13:24:54","13-Aug-2021 13:25:20","26","美国","位置未知","","","","B.陈艾森","","","","","G.郑思维","","","","","","","","","","","","A.Top","B.不是",
"231","13-Aug-2021 13:22:16","13-Aug-2021 13:22:30","14","美国","位置未知","","","","","C.樊振东","","","","","","","","K.安昌林","","","","","","","","A.Top","B.不是",
"230","13-Aug-2021 13:21:39","13-Aug-2021 13:22:02","23","加拿大","位置未知","","","A.汪顺","","","","","","","","","J.刘浩 /郑鹏飞","","","","","","","","","A.Top","B.不是",
"229","13-Aug-2021 13:15:12","13-Aug-2021 13:15:27","15","中国","北京市","北京市","","","","","","","","","","","","K.安昌林","","","","","","","","A.Top","B.不是",
"228","13-Aug-2021 13:14:37","13-Aug-2021 13:15:03","26","美国","位置未知","","","","B.陈艾森","","D.Tom Daley","","","","","","","","","","","","P.Micah Christenson","","","A.Top","B.不是",
"227","13-Aug-2021 13:11:53","13-Aug-2021 13:12:22","29","中国","四川省","德阳市","","","","","","","F.马龙","","","","J.刘浩 /郑鹏飞","","","","","","","","","D.Vers Bottom","B.不是",
"226","13-Aug-2021 13:09:30","13-Aug-2021 13:10:44","74","中国","上海市","上海市","","","","C.樊振东","D.Tom Daley","","","","","","","K.安昌林","","","N.徐嘉余","","","","R.盛李豪","E.Bottom","A.是",
"225","13-Aug-2021 13:06:20","13-Aug-2021 13:06:57","37","中国","广东省","深圳市","","A.汪顺","B.陈艾森","","","","F.马龙","","","","J.刘浩 /郑鹏飞","","","","","","","","","C.Vers","A.是",
"224","13-Aug-2021 12:53:28","13-Aug-2021 12:53:51","23","美国","位置未知","","","","","","","","","G.郑思维","","","","","L.谢震业","","","","","","","D.Vers Bottom","B.不是",
"223","13-Aug-2021 12:49:41","13-Aug-2021 12:49:55","14","美国","位置未知","","","A.汪顺","B.陈艾森","","D.Tom Daley","","","","","","","","","","","","","","","D.Vers Bottom","B.不是",
"222","13-Aug-2021 12:44:34","13-Aug-2021 12:44:59","25","中国","河南省","开封市","","","B.陈艾森","","D.Tom Daley","","F.马龙","","","","","","","","","O.杨皓然","P.Micah Christenson","","","E.Bottom","B.不是",
"221","13-Aug-2021 12:42:24","13-Aug-2021 12:44:09","105","中国","宁夏回族自治区","银川市","","A.汪顺","B.陈艾森","","","","F.马龙","G.郑思维","","","","","","","","","","","","C.Vers","B.不是",
"220","13-Aug-2021 12:43:31","13-Aug-2021 12:43:55","24","中国","北京市","北京市","","A.汪顺","","C.樊振东","D.Tom Daley","","","","","","","","L.谢震业","","","","","","","E.Bottom","B.不是",
"219","13-Aug-2021 12:42:42","13-Aug-2021 12:43:21","39","美国","位置未知","","","A.汪顺","B.陈艾森","C.樊振东","","","","","","","J.刘浩 /郑鹏飞","K.安昌林","","","","","","","","C.Vers","A.是",
"218","13-Aug-2021 12:35:04","13-Aug-2021 12:35:23","19","中国","北京市","北京市","","","","","","E.苏炳添","","","","","","","","","","","","","","B.Vers Top","B.不是",
"217","13-Aug-2021 12:33:46","13-Aug-2021 12:34:20","34","中国","湖北省","","","","","C.樊振东","","E.苏炳添","","","","","","","","","","O.杨皓然","","","R.盛李豪","C.Vers","A.是",
"216","13-Aug-2021 12:16:17","13-Aug-2021 12:16:37","20","中国","北京市","北京市","","","B.陈艾森","","","","","","","","","","","","","","","","","C.Vers","B.不是",
"215","13-Aug-2021 12:13:53","13-Aug-2021 12:16:02","129","美国","位置未知","","","","","","","","","","","","","","","","","","","Q.邓志伟","","C.Vers","A.是",
"214","13-Aug-2021 12:15:38","13-Aug-2021 12:15:56","18","中国","浙江省","舟山市","","A.汪顺","","","","","F.马龙","","","","","","","","","","","","","C.Vers","B.不是",
"213","13-Aug-2021 12:10:57","13-Aug-2021 12:11:22","25","美国","位置未知","","","","","C.樊振东","","","","","","I.吕小军","","","","","","","","Q.邓志伟","","C.Vers","B.不是",
"212","13-Aug-2021 12:09:38","13-Aug-2021 12:10:35","57","美国","位置未知","","","","","","","","","","H.杨健","","","","","M.刘洋","","","","Q.邓志伟","","C.Vers","A.是",
"211","13-Aug-2021 12:04:28","13-Aug-2021 12:04:50","22","中国","上海市","上海市","","","B.陈艾森","C.樊振东","","","","G.郑思维","H.杨健","","","K.安昌林","","","","","","","","D.Vers Bottom","B.不是",
"210","13-Aug-2021 12:00:12","13-Aug-2021 12:00:40","28","美国","位置未知","","","","B.陈艾森","","D.Tom Daley","","","","","","","","","","","O.杨皓然","P.Micah Christenson","","R.盛李豪","E.Bottom","B.不是",
"209","13-Aug-2021 11:59:17","13-Aug-2021 11:59:51","34","美国","位置未知","","","A.汪顺","B.陈艾森","","D.Tom Daley","","","","","","J.刘浩 /郑鹏飞","","","","","","P.Micah Christenson","","","C.Vers","B.不是",
"208","13-Aug-2021 11:57:14","13-Aug-2021 11:57:34","20","中国","北京市","北京市","","","","","","","","","","","J.刘浩 /郑鹏飞","","","","","","","","","E.Bottom","B.不是",
"207","13-Aug-2021 11:54:42","13-Aug-2021 11:55:11","29","中国","上海市","上海市","","","","C.樊振东","","E.苏炳添","F.马龙","","H.杨健","","","","","","","","","","","F.我不认同角色划分","B.不是",
"206","13-Aug-2021 11:50:56","13-Aug-2021 11:55:02","246","加拿大","位置未知","","","","","","D.Tom Daley","","","G.郑思维","","","","K.安昌林","","","","","P.Micah Christenson","","","D.Vers Bottom","B.不是",
"205","13-Aug-2021 11:49:50","13-Aug-2021 11:50:41","51","加拿大","位置未知","","","A.汪顺","","","","","F.马龙","G.郑思维","H.杨健","","","","","","","","","","","E.Bottom","B.不是",
"204","13-Aug-2021 11:48:03","13-Aug-2021 11:48:58","55","美国","位置未知","","","A.汪顺","B.陈艾森","C.樊振东","","","F.马龙","G.郑思维","","","","","","","","","","","","E.Bottom","B.不是",
"203","13-Aug-2021 11:46:10","13-Aug-2021 11:46:39","29","中国","上海市","上海市","","","B.陈艾森","","D.Tom Daley","","","","","","","K.安昌林","","","","","","","","F.我不认同角色划分","B.不是",
"202","13-Aug-2021 11:45:20","13-Aug-2021 11:45:59","39","中国","上海市","上海市","","A.汪顺","B.陈艾森","","D.Tom Daley","","","","H.杨健","","","","","","","","","","","E.Bottom","B.不是",
"201","13-Aug-2021 11:42:57","13-Aug-2021 11:43:23","26","美国","位置未知","","","A.汪顺","B.陈艾森","","D.Tom Daley","","","","","","J.刘浩 /郑鹏飞","","","","N.徐嘉余","","","","","D.Vers Bottom","B.不是",
"200","13-Aug-2021 11:41:50","13-Aug-2021 11:43:13","83","美国","位置未知","","","","B.陈艾森","","D.Tom Daley","","","","H.杨健","","J.刘浩 /郑鹏飞","K.安昌林","","","","","","","","F.我不认同角色划分","B.不是",
"199","13-Aug-2021 11:38:46","13-Aug-2021 11:39:10","24","中国","北京市","北京市","","A.汪顺","","","","","","","","I.吕小军","J.刘浩 /郑鹏飞","","","","","","","","","B.Vers Top","B.不是",
"198","13-Aug-2021 11:37:30","13-Aug-2021 11:38:03","33","美国","位置未知","","","","B.陈艾森","","","","","G.郑思维","","","","","","","","","","","","E.Bottom","B.不是",
"197","13-Aug-2021 11:36:34","13-Aug-2021 11:37:43","69","加拿大","位置未知","","","A.汪顺","B.陈艾森","","","","F.马龙","G.郑思维","","","J.刘浩 /郑鹏飞","","","","","","","","","B.Vers Top","B.不是",
"196","13-Aug-2021 11:36:10","13-Aug-2021 11:36:35","25","中国","广东省","广州市","","A.汪顺","B.陈艾森","","","","","","","","J.刘浩 /郑鹏飞","K.安昌林","","","","","","","","C.Vers","A.是",
"195","13-Aug-2021 11:34:12","13-Aug-2021 11:34:57","45","中国","河北省","保定市","","A.汪顺","B.陈艾森","C.樊振东","D.Tom Daley","","F.马龙","","","","","","","","","","","","","D.Vers Bottom","B.不是",
"194","13-Aug-2021 11:34:09","13-Aug-2021 11:34:41","32","中国","河北省","石家庄市","","","B.陈艾森","","","E.苏炳添","","","H.杨健","I.吕小军","","","","","","","","Q.邓志伟","","C.Vers","B.不是",
"193","13-Aug-2021 11:32:23","13-Aug-2021 11:33:13","50","中国","北京市","北京市","","A.汪顺","","C.樊振东","D.Tom Daley","E.苏炳添","","","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"192","13-Aug-2021 11:30:55","13-Aug-2021 11:31:13","18","美国","位置未知","","","A.汪顺","","","","","","","","","J.刘浩 /郑鹏飞","","","","","","","","","D.Vers Bottom","B.不是",
"191","13-Aug-2021 11:30:42","13-Aug-2021 11:31:04","22","中国","天津市","天津市","","","","","D.Tom Daley","","","","","","","K.安昌林","","","","","P.Micah Christenson","","","C.Vers","B.不是",
"190","13-Aug-2021 11:30:02","13-Aug-2021 11:30:29","27","中国","安徽省","芜湖市","","A.汪顺","B.陈艾森","C.樊振东","D.Tom Daley","","F.马龙","","","","","","","","","","","","","F.我不认同角色划分","B.不是",
"189","13-Aug-2021 11:26:36","13-Aug-2021 11:27:38","62","中国","黑龙江省","哈尔滨市","","A.汪顺","","","","","","G.郑思维","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"188","13-Aug-2021 11:27:07","13-Aug-2021 11:27:38","31","美国","位置未知","","","","","","","","","","","","","","","","","","P.Micah Christenson","","","C.Vers","B.不是",
"187","13-Aug-2021 11:26:28","13-Aug-2021 11:26:50","22","中国","广东省","东莞市","","A.汪顺","B.陈艾森","","","","","","","","","","","","","","","","","C.Vers","B.不是",
"186","13-Aug-2021 11:21:37","13-Aug-2021 11:22:16","39","中国","重庆市","重庆市","","A.汪顺","","","","","","G.郑思维","","","","","","","","","P.Micah Christenson","","","D.Vers Bottom","B.不是",
"185","13-Aug-2021 11:19:27","13-Aug-2021 11:20:03","36","美国","位置未知","","","","","","","","","","","","J.刘浩 /郑鹏飞","K.安昌林","","","","","","","","B.Vers Top","B.不是",
"184","13-Aug-2021 11:18:34","13-Aug-2021 11:19:00","26","美国","位置未知","","","A.汪顺","B.陈艾森","C.樊振东","D.Tom Daley","","","","","","","K.安昌林","","","","","","","","C.Vers","A.是",
"183","13-Aug-2021 11:15:49","13-Aug-2021 11:16:46","57","中国","北京市","北京市","","A.汪顺","","","D.Tom Daley","","F.马龙","","","","","","","","","O.杨皓然","","","R.盛李豪","C.Vers","B.不是",
"182","13-Aug-2021 11:13:06","13-Aug-2021 11:14:00","54","中国","北京市","北京市","","A.汪顺","B.陈艾森","","","E.苏炳添","","","","","J.刘浩 /郑鹏飞","","","","","","","","","F.我不认同角色划分","B.不是",
"181","13-Aug-2021 11:10:34","13-Aug-2021 11:10:54","20","美国","位置未知","","","","","","","","F.马龙","","","","","K.安昌林","","","","","","","","E.Bottom","B.不是",
"180","13-Aug-2021 11:04:41","13-Aug-2021 11:06:55","134","美国","位置未知","","","A.汪顺","B.陈艾森","","","","F.马龙","G.郑思维","","","","","","","N.徐嘉余","","","","","F.我不认同角色划分","B.不是",
"179","13-Aug-2021 11:06:05","13-Aug-2021 11:06:25","20","中国","上海市","上海市","","A.汪顺","","","","","","","","","","","","","","","","","","E.Bottom","B.不是",
"178","13-Aug-2021 11:05:09","13-Aug-2021 11:05:45","36","中国","广东省","东莞市","","A.汪顺","","","","","","","","I.吕小军","J.刘浩 /郑鹏飞","","L.谢震业","","N.徐嘉余","","","","","D.Vers Bottom","B.不是",
"177","13-Aug-2021 11:04:09","13-Aug-2021 11:05:01","52","中国","福建省","漳州市","","A.汪顺","B.陈艾森","","","E.苏炳添","F.马龙","","","","","","","","","","","","","F.我不认同角色划分","B.不是",
"176","13-Aug-2021 11:04:00","13-Aug-2021 11:04:48","48","美国","位置未知","","","","B.陈艾森","","D.Tom Daley","","F.马龙","","","","","K.安昌林","","","N.徐嘉余","","","","","C.Vers","B.不是",
"175","13-Aug-2021 11:02:27","13-Aug-2021 11:03:05","38","美国","位置未知","","","A.汪顺","B.陈艾森","","D.Tom Daley","","","","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"174","13-Aug-2021 11:00:23","13-Aug-2021 11:02:56","153","中国","上海市","上海市","","","","","","E.苏炳添","","","H.杨健","","J.刘浩 /郑鹏飞","K.安昌林","L.谢震业","","","","","","","D.Vers Bottom","B.不是",
"173","13-Aug-2021 11:02:10","13-Aug-2021 11:02:20","10","中国","北京市","北京市","","","","","","","","","","","","","","","","","","Q.邓志伟","","F.我不认同角色划分","A.是",
"172","13-Aug-2021 11:00:54","13-Aug-2021 11:01:13","19","中国","江苏省","南京市","","","B.陈艾森","","","E.苏炳添","","","","","","","","","","","","","","C.Vers","B.不是",
"171","13-Aug-2021 11:00:42","13-Aug-2021 11:00:58","16","中国","上海市","上海市","","A.汪顺","","C.樊振东","","","","","","","","","L.谢震业","","","","","","","E.Bottom","B.不是",
"170","13-Aug-2021 10:59:20","13-Aug-2021 11:00:52","92","中国","云南省","昆明市","","","B.陈艾森","","","","","","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"169","13-Aug-2021 11:00:14","13-Aug-2021 11:00:44","30","中国","北京市","北京市","","A.汪顺","B.陈艾森","C.樊振东","","E.苏炳添","","","","I.吕小军","","","","","","","","","","C.Vers","B.不是",
"168","13-Aug-2021 10:51:45","13-Aug-2021 10:59:16","451","美国","位置未知","","","A.汪顺","B.陈艾森","","","E.苏炳添","F.马龙","","","I.吕小军","","","","","","","","","","C.Vers","B.不是",
"167","13-Aug-2021 10:57:27","13-Aug-2021 10:58:01","34","美国","位置未知","","","A.汪顺","B.陈艾森","","","E.苏炳添","","","","","","","","","","","","","","F.我不认同角色划分","B.不是",
"166","13-Aug-2021 10:57:02","13-Aug-2021 10:57:37","35","美国","位置未知","","","","B.陈艾森","C.樊振东","D.Tom Daley","E.苏炳添","F.马龙","","","","","","","","","","","","","E.Bottom","A.是",
"165","13-Aug-2021 10:54:38","13-Aug-2021 10:57:15","157","美国","位置未知","","","","B.陈艾森","","","","F.马龙","G.郑思维","","","","","","","N.徐嘉余","","","","","F.我不认同角色划分","B.不是",
"164","13-Aug-2021 10:54:33","13-Aug-2021 10:55:17","44","中国","广西壮族自治区","南宁市","","A.汪顺","","","","","","","","I.吕小军","J.刘浩 /郑鹏飞","","","","N.徐嘉余","","","","","D.Vers Bottom","B.不是",
"163","13-Aug-2021 10:54:37","13-Aug-2021 10:55:09","32","中国","山东省","滨州市","","A.汪顺","","","","","","","","","J.刘浩 /郑鹏飞","","","","","","","Q.邓志伟","","C.Vers","B.不是",
"162","13-Aug-2021 10:54:13","13-Aug-2021 10:54:30","17","中国","北京市","北京市","","","","","","","","","","","","K.安昌林","","","","","","","","A.Top","B.不是",
"161","13-Aug-2021 10:53:20","13-Aug-2021 10:54:05","45","中国","重庆市","重庆市","","A.汪顺","B.陈艾森","","","","F.马龙","G.郑思维","","","","K.安昌林","","","","","","","","D.Vers Bottom","A.是",
"160","13-Aug-2021 10:52:57","13-Aug-2021 10:53:19","22","美国","位置未知","","","A.汪顺","","","","","","","","","","K.安昌林","","","","","","","","E.Bottom","B.不是",
"159","13-Aug-2021 10:52:53","13-Aug-2021 10:53:13","20","中国","北京市","北京市","","A.汪顺","","","","","","","","","","","","","","","","","","A.Top","A.是",
"158","13-Aug-2021 10:52:15","13-Aug-2021 10:53:00","45","美国","位置未知","","","A.汪顺","","C.樊振东","D.Tom Daley","","","","","","J.刘浩 /郑鹏飞","","","","","","P.Micah Christenson","","","C.Vers","B.不是",
"157","13-Aug-2021 10:51:41","13-Aug-2021 10:52:20","39","中国","湖南省","常德市","","A.汪顺","B.陈艾森","","D.Tom Daley","","","G.郑思维","","","","K.安昌林","","","","","","","","C.Vers","B.不是",
"156","13-Aug-2021 10:51:19","13-Aug-2021 10:52:11","52","美国","位置未知","","","A.汪顺","B.陈艾森","","D.Tom Daley","","","G.郑思维","","I.吕小军","","","","","","","","","","E.Bottom","B.不是",
"155","13-Aug-2021 10:50:49","13-Aug-2021 10:51:27","38","中国","浙江省","宁波市","","","","C.樊振东","","","F.马龙","","","","","K.安昌林","","","","O.杨皓然","","Q.邓志伟","","F.我不认同角色划分","B.不是",
"154","13-Aug-2021 10:48:31","13-Aug-2021 10:48:58","27","美国","位置未知","","","","B.陈艾森","","","","F.马龙","","","","","","","","","","","","","C.Vers","B.不是",
"153","13-Aug-2021 10:47:04","13-Aug-2021 10:47:40","36","新西兰","位置未知","","","","B.陈艾森","","","E.苏炳添","","","","","","","","","","","","","","C.Vers","B.不是",
"152","13-Aug-2021 10:46:54","13-Aug-2021 10:47:18","24","中国","湖北省","武汉市","","A.汪顺","B.陈艾森","","","","F.马龙","","H.杨健","","","K.安昌林","","","","","","","","D.Vers Bottom","B.不是",
"151","13-Aug-2021 10:46:43","13-Aug-2021 10:46:51","8","中国","北京市","北京市","","A.汪顺","","","","","","","","","","","","","","","","","","A.Top","B.不是",
"150","13-Aug-2021 10:40:57","13-Aug-2021 10:41:53","56","加拿大","位置未知","","","","B.陈艾森","C.樊振东","","","","G.郑思维","","","","","","","","","","","","C.Vers","B.不是",
"149","13-Aug-2021 10:40:44","13-Aug-2021 10:40:57","13","中国","陕西省","西安市","","A.汪顺","","","","","","","","","","","","","","","","","","E.Bottom","B.不是",
"148","13-Aug-2021 10:38:47","13-Aug-2021 10:39:32","45","中国","陕西省","西安市","","","","C.樊振东","D.Tom Daley","","F.马龙","G.郑思维","","","","K.安昌林","","","","","","","","A.Top","B.不是",
"147","13-Aug-2021 10:38:08","13-Aug-2021 10:39:19","71","美国","位置未知","","","A.汪顺","B.陈艾森","","","","","","","","","","","","","","","Q.邓志伟","","D.Vers Bottom","B.不是",
"146","13-Aug-2021 10:37:39","13-Aug-2021 10:39:12","93","中国","北京市","北京市","","A.汪顺","","","D.Tom Daley","","","","","I.吕小军","J.刘浩 /郑鹏飞","","","","N.徐嘉余","","","","","D.Vers Bottom","B.不是",
"145","13-Aug-2021 10:38:24","13-Aug-2021 10:38:53","29","中国","山东省","青岛市","","A.汪顺","","C.樊振东","","","","","","","","","","M.刘洋","","","","","","E.Bottom","B.不是",
